road_id, road_type  , hour, avg_speed_kmh, congestion_level, travel_time_multiplier, passable_ambulance, passable_firetruck, rain
   1004, secondary  ,   16,          29.4,            0.33 ,                   1.3 , oui               , oui               , non
   1004, secondary  ,   17,          10.4,            0.924,                   2.83, oui               , oui               , non
   1004, secondary  ,   18,          11.0,            0.905,                   2.73, oui               , oui               , non
   1004, secondary  ,   19,          11.4,            0.893,                   2.67, oui               , oui               , non
   1004, secondary  ,   20,          10.2,            0.93 ,                   2.86, oui               , oui               , non
   1004, secondary  ,   21,          31.4,            0.269,                   1.23, oui               , oui               , non
   1004, secondary  ,   22,          30.7,            0.29 ,                   1.25, oui               , oui               , non
   1004, secondary  ,   23,          29.2,            0.338,                   1.31, oui               , oui               , non
   1005, motorway   ,    0,          40.6,            0.393,                   1.38, oui               , oui               , oui
   1005, motorway   ,    1,          69.0,            0.171,                   1.14, oui               , oui               , non
   1005, motorway   ,    2,          65.9,            0.22 ,                   1.18, oui               , oui               , non
   1005, motorway   ,    3,          66.7,            0.208,                   1.17, oui               , oui               , non
   1005, motorway   ,    4,          67.0,            0.204,                   1.17, oui               , oui               , non
   1005, motorway   ,    5,          41.5,            0.37 ,                   1.35, oui               , oui               , oui
   1005, motorway   ,    6,          66.1,            0.217,                   1.18, oui               , oui               , non
   1005, motorway   ,    7,          32.2,            0.747,                   2.09, oui               , oui               , non
   1005, motorway   ,    8,          35.9,            0.689,                   1.93, oui               , oui               , non
   1005, motorway   ,    9,          37.7,            0.661,                   1.86, oui               , oui               , non
   1005, motorway   ,   10,          40.5,            0.396,                   1.38, oui               , oui               , oui
   1005, motorway   ,   11,          66.1,            0.217,                   1.18, oui               , oui               , non
   1005, motorway   ,   12,          45.3,            0.542,                   1.61, oui               , oui               , non
   1005, motorway   ,   13,          46.9,            0.517,                   1.57, oui               , oui               , non
   1005, motorway   ,   14,          29.8,            0.674,                   1.89, oui               , oui               , oui
   1005, motorway   ,   15,          40.8,            0.387,                   1.37, oui               , oui               , oui
   1005, motorway   ,   16,          67.9,            0.189,                   1.15, oui               , oui               , non
   1005, motorway   ,   17,          28.3,            0.807,                   2.3 , oui               , oui               , non
   1005, motorway   ,   18,          28.9,            0.799,                   2.27, oui               , oui               , non
   1005, motorway   ,   19,          26.1,            0.842,                   2.44, oui               , oui               , non
   1005, motorway   ,   20,          18.5,            0.967,                   3.1 , oui               , oui               , oui
   1005, motorway   ,   21,          41.1,            0.379,                   1.36, oui               , oui               , oui
   1005, motorway   ,   22,          65.0,            0.234,                   1.2 , oui               , oui               , non
   1005, motorway   ,   23,          64.9,            0.237,                   1.2 , oui               , oui               , non
   1006, motorway   ,    0,          40.4,            0.398,                   1.39, oui               , oui               , oui
   1006, motorway   ,    1,          67.9,            0.188,                   1.15, oui               , oui               , non
   1006, motorway   ,    2,          66.2,            0.215,                   1.18, oui               , oui               , non
   1006, motorway   ,    3,          67.3,            0.199,                   1.16, oui               , oui               , non
   1006, motorway   ,    4,          40.5,            0.394,                   1.38, oui               , oui               , oui
   1006, motorway   ,    5,          66.8,            0.207,                   1.17, oui               , oui               , non
   1006, motorway   ,    6,          41.4,            0.372,                   1.35, oui               , oui               , oui
   1006, motorway   ,    7,          37.0,            0.672,                   1.89, oui               , oui               , non
   1006, motorway   ,    8,          33.4,            0.728,                   2.04, oui               , oui               , non
   1006, motorway   ,    9,          33.5,            0.727,                   2.04, oui               , oui               , non
   1006, motorway   ,   10,          67.1,            0.201,                   1.16, oui               , oui               , non
   1006, motorway   ,   11,          68.7,            0.177,                   1.14, oui               , oui               , non
   1006, motorway   ,   12,          44.9,            0.549,                   1.62, oui               , oui               , non
   1006, motorway   ,   13,          46.4,            0.526,                   1.58, oui               , oui               , non
   1006, motorway   ,   14,          48.4,            0.494,                   1.53, oui               , oui               , non
   1006, motorway   ,   15,          67.7,            0.193,                   1.16, oui               , oui               , non
   1006, motorway   ,   16,          66.2,            0.215,                   1.18, oui               , oui               , non
   1006, motorway   ,   17,          15.8,            1.0  ,                   3.33, oui               , oui               , oui
   1006, motorway   ,   18,          30.3,            0.776,                   2.19, oui               , oui               , non
   1006, motorway   ,   19,          31.4,            0.759,                   2.13, oui               , oui               , non
   1006, motorway   ,   20,          31.2,            0.762,                   2.14, oui               , oui               , non
   1006, motorway   ,   21,          69.1,            0.171,                   1.14, oui               , oui               , non
   1006, motorway   ,   22,          66.0,            0.219,                   1.18, oui               , oui               , non
   1006, motorway   ,   23,          66.5,            0.211,                   1.17, oui               , oui               , non
   1007, tertiary   ,    0,          11.3,            0.312,                   1.28, oui               , oui               , non
   1007, tertiary   ,    1,          11.0,            0.331,                   1.3 , oui               , oui               , non
   1007, tertiary   ,    2,          11.3,            0.307,                   1.27, oui               , oui               , non
   1007, tertiary   ,    3,           6.8,            0.51 ,                   1.55, oui               , oui               , oui
   1007, tertiary   ,    4,          10.8,            0.348,                   1.32, oui               , oui               , non
   1007, tertiary   ,    5,          22.6,            0.307,                   1.27, oui               , oui               , non
   1007, tertiary   ,    6,          22.8,            0.301,                   1.27, oui               , oui               , non
   1007, tertiary   ,    7,           6.0,            1.0  ,                   3.33, non               , non               , oui
   1007, tertiary   ,    8,          10.2,            0.825,                   2.37, oui               , oui               , non
   1007, tertiary   ,    9,          11.9,            0.756,                   2.12, oui               , oui               , non
   1007, tertiary   ,   10,          22.4,            0.316,                   1.28, oui               , oui               , non
   1007, tertiary   ,   11,          14.2,            0.463,                   1.48, oui               , oui               , oui
   1007, tertiary   ,   12,          16.0,            0.582,                   1.69, oui               , oui               , non
   1007, tertiary   ,   13,          14.8,            0.634,                   1.8 , oui               , oui               , non
   1007, tertiary   ,   14,          16.5,            0.564,                   1.65, oui               , oui               , non
   1007, tertiary   ,   15,          22.5,            0.313,                   1.28, oui               , oui               , non
   1007, tertiary   ,   16,          23.8,            0.258,                   1.22, oui               , oui               , non
   1007, tertiary   ,   17,           7.8,            0.927,                   2.85, non               , non               , non
   1007, tertiary   ,   18,           7.8,            0.925,                   2.84, non               , non               , non
   1007, tertiary   ,   19,           7.5,            0.938,                   2.91, non               , non               , non
   1007, tertiary   ,   20,           8.4,            0.899,                   2.7 , non               , oui               , non
   1007, tertiary   ,   21,          21.9,            0.337,                   1.31, oui               , oui               , non
   1007, tertiary   ,   22,          23.8,            0.259,                   1.22, oui               , oui               , non
   1007, tertiary   ,   23,          22.5,            0.313,                   1.28, oui               , oui               , non
   1008, tertiary   ,    0,          11.0,            0.335,                   1.31, oui               , oui               , non
   1008, tertiary   ,    1,          11.5,            0.29 ,                   1.25, oui               , oui               , non
   1008, tertiary   ,    2,          11.0,            0.332,                   1.3 , oui               , oui               , non
   1008, tertiary   ,    3,          11.6,            0.282,                   1.25, oui               , oui               , non
   1008, tertiary   ,    4,           6.8,            0.505,                   1.55, oui               , oui               , oui
   1008, tertiary   ,    5,          22.0,            0.335,                   1.31, oui               , oui               , non
   1008, tertiary   ,    6,          21.9,            0.339,                   1.31, oui               , oui               , non
   1008, tertiary   ,    7,          11.9,            0.755,                   2.12, oui               , oui               , non
   1008, tertiary   ,    8,           6.0,            1.0  ,                   3.33, non               , non               , oui
   1008, tertiary   ,    9,           5.9,            1.0  ,                   3.33, non               , non               , oui
   1008, tertiary   ,   10,          22.9,            0.296,                   1.26, oui               , oui               , non
   1008, tertiary   ,   11,          23.0,            0.293,                   1.26, oui               , oui               , non
   1008, tertiary   ,   12,          14.6,            0.641,                   1.81, oui               , oui               , non
   1008, tertiary   ,   13,          16.1,            0.58 ,                   1.68, oui               , oui               , non
   1008, tertiary   ,   14,           8.8,            0.838,                   2.42, non               , oui               , oui
   1008, tertiary   ,   15,          13.9,            0.486,                   1.52, oui               , oui               , oui
   1008, tertiary   ,   16,          22.4,            0.316,                   1.28, oui               , oui               , non
   1008, tertiary   ,   17,           9.5,            0.855,                   2.49, non               , oui               , non
   1008, tertiary   ,   18,           7.9,            0.923,                   2.82, non               , non               , non
   1008, tertiary   ,   19,           5.1,            1.0  ,                   3.33, non               , non               , oui
   1008, tertiary   ,   20,           9.4,            0.86 ,                   2.51, non               , oui               , non
   1008, tertiary   ,   21,          23.8,            0.258,                   1.22, oui               , oui               , non
   1008, tertiary   ,   22,          22.8,            0.302,                   1.27, oui               , oui               , non
   1008, tertiary   ,   23,          24.0,            0.251,                   1.21, oui               , oui               , non
   1009, secondary  ,    0,          31.6,            0.262,                   1.22, oui               , oui               , non
   1009, secondary  ,    1,          29.8,            0.319,                   1.29, oui               , oui               , non
   1009, secondary  ,    2,          18.8,            0.473,                   1.49, oui               , oui               , oui
   1009, secondary  ,    3,          17.7,            0.531,                   1.59, oui               , oui               , oui
   1009, secondary  ,    4,          30.8,            0.287,                   1.25, oui               , oui               , non
   1009, secondary  ,    5,          30.8,            0.288,                   1.25, oui               , oui               , non
   1009, secondary  ,    6,          29.2,            0.337,                   1.31, oui               , oui               , non
   1009, secondary  ,    7,           8.3,            1.0  ,                   3.33, non               , oui               , oui
   1009, secondary  ,    8,          14.2,            0.806,                   2.3 , oui               , oui               , non
   1009, secondary  ,    9,          15.5,            0.766,                   2.16, oui               , oui               , non
   1009, secondary  ,   10,          31.3,            0.271,                   1.23, oui               , oui               , non
   1009, secondary  ,   11,          29.1,            0.342,                   1.31, oui               , oui               , non
   1009, secondary  ,   12,          21.0,            0.594,                   1.71, oui               , oui               , non
   1009, secondary  ,   13,          11.7,            0.84 ,                   2.43, oui               , oui               , oui
   1009, secondary  ,   14,          22.0,            0.562,                   1.65, oui               , oui               , non
   1009, secondary  ,   15,          30.9,            0.285,                   1.25, oui               , oui               , non
   1009, secondary  ,   16,          29.5,            0.329,                   1.3 , oui               , oui               , non
   1009, secondary  ,   17,          10.7,            0.914,                   2.78, oui               , oui               , non
   1009, secondary  ,   18,          10.9,            0.91 ,                   2.76, oui               , oui               , non
   1009, secondary  ,   19,          11.9,            0.878,                   2.6 , oui               , oui               , non
   1009, secondary  ,   20,          12.7,            0.853,                   2.48, oui               , oui               , non
   1009, secondary  ,   21,          29.2,            0.338,                   1.31, oui               , oui               , non
   1009, secondary  ,   22,          18.0,            0.511,                   1.56, oui               , oui               , oui
   1009, secondary  ,   23,          30.7,            0.289,                   1.25, oui               , oui               , non
   1010, motorway   ,    0,          65.4,            0.228,                   1.19, oui               , oui               , non
   1010, motorway   ,    1,          68.9,            0.174,                   1.14, oui               , oui               , non
   1010, motorway   ,    2,          68.9,            0.174,                   1.14, oui               , oui               , non
   1010, motorway   ,    3,          69.9,            0.157,                   1.12, oui               , oui               , non
   1010, motorway   ,    4,          70.3,            0.151,                   1.12, oui               , oui               , non
   1010, motorway   ,    5,          68.4,            0.182,                   1.15, oui               , oui               , non
   1010, motorway   ,    6,          65.0,            0.234,                   1.2 , oui               , oui               , non
   1010, motorway   ,    7,          20.9,            0.905,                   2.73, oui               , oui               , oui
   1010, motorway   ,    8,          35.4,            0.697,                   1.95, oui               , oui               , non
   1010, motorway   ,    9,          37.9,            0.657,                   1.85, oui               , oui               , non
   1010, motorway   ,   10,          70.3,            0.151,                   1.12, oui               , oui               , non
   1010, motorway   ,   11,          64.5,            0.242,                   1.2 , oui               , oui               , non
   1010, motorway   ,   12,          48.7,            0.49 ,                   1.52, oui               , oui               , non
   1010, motorway   ,   13,          46.6,            0.521,                   1.57, oui               , oui               , non
   1010, motorway   ,   14,          48.5,            0.492,                   1.53, oui               , oui               , non
   1010, motorway   ,   15,          66.3,            0.214,                   1.18, oui               , oui               , non
   1010, motorway   ,   16,          41.7,            0.365,                   1.34, oui               , oui               , oui
   1010, motorway   ,   17,          31.5,            0.758,                   2.13, oui               , oui               , non
   1010, motorway   ,   18,          15.5,            1.0  ,                   3.33, oui               , oui               , oui
   1010, motorway   ,   19,          29.9,            0.783,                   2.21, oui               , oui               , non
   1010, motorway   ,   20,          27.1,            0.826,                   2.37, oui               , oui               , non
   1010, motorway   ,   21,          66.3,            0.214,                   1.18, oui               , oui               , non
   1010, motorway   ,   22,          67.6,            0.194,                   1.16, oui               , oui               , non
   1010, motorway   ,   23,          68.9,            0.174,                   1.14, oui               , oui               , non
   1011, motorway   ,    0,          38.7,            0.442,                   1.45, oui               , oui               , oui
   1011, motorway   ,    1,          39.9,            0.411,                   1.4 , oui               , oui               , oui
   1011, motorway   ,    2,          66.1,            0.217,                   1.18, oui               , oui               , non
   1011, motorway   ,    3,          41.6,            0.368,                   1.35, oui               , oui               , oui
   1011, motorway   ,    4,          41.7,            0.364,                   1.34, oui               , oui               , oui
   1011, motorway   ,    5,          67.2,            0.2  ,                   1.16, oui               , oui               , non
   1011, motorway   ,    6,          67.1,            0.202,                   1.16, oui               , oui               , non
   1011, motorway   ,    7,          36.7,            0.676,                   1.9 , oui               , oui               , non
   1011, motorway   ,    8,          33.6,            0.725,                   2.03, oui               , oui               , non
   1011, motorway   ,    9,          20.2,            0.923,                   2.83, oui               , oui               , oui
   1011, motorway   ,   10,          64.6,            0.24 ,                   1.2 , oui               , oui               , non
   1011, motorway   ,   11,          67.7,            0.193,                   1.16, oui               , oui               , non
   1011, motorway   ,   12,          49.5,            0.476,                   1.5 , oui               , oui               , non
   1011, motorway   ,   13,          47.2,            0.513,                   1.56, oui               , oui               , non
   1011, motorway   ,   14,          28.8,            0.701,                   1.96, oui               , oui               , oui
   1011, motorway   ,   15,          38.9,            0.436,                   1.44, oui               , oui               , oui
   1011, motorway   ,   16,          69.4,            0.166,                   1.13, oui               , oui               , non
   1011, motorway   ,   17,          26.3,            0.839,                   2.42, oui               , oui               , non
   1011, motorway   ,   18,          31.3,            0.762,                   2.14, oui               , oui               , non
   1011, motorway   ,   19,          32.0,            0.75 ,                   2.11, oui               , oui               , non
   1011, motorway   ,   20,          19.2,            0.951,                   2.99, oui               , oui               , oui
   1011, motorway   ,   21,          68.1,            0.186,                   1.15, oui               , oui               , non
   1011, motorway   ,   22,          69.3,            0.168,                   1.13, oui               , oui               , non
   1011, motorway   ,   23,          70.2,            0.154,                   1.12, oui               , oui               , non
   1012, tertiary   ,    0,          11.1,            0.321,                   1.29, oui               , oui               , non
   1012, tertiary   ,    1,          11.7,            0.272,                   1.24, oui               , oui               , non
   1012, tertiary   ,    2,          10.9,            0.342,                   1.31, oui               , oui               , non
   1012, tertiary   ,    3,          11.0,            0.333,                   1.3 , oui               , oui               , non
   1012, tertiary   ,    4,          11.9,            0.262,                   1.22, oui               , oui               , non
   1012, tertiary   ,    5,          23.9,            0.255,                   1.22, oui               , oui               , non
   1012, tertiary   ,    6,          13.7,            0.502,                   1.54, oui               , oui               , oui
   1012, tertiary   ,    7,          11.0,            0.79 ,                   2.24, oui               , oui               , non
   1012, tertiary   ,    8,           9.9,            0.837,                   2.41, non               , oui               , non
   1012, tertiary   ,    9,           6.8,            0.981,                   3.19, non               , non               , oui
   1012, tertiary   ,   10,          22.9,            0.296,                   1.26, oui               , oui               , non
   1012, tertiary   ,   11,          23.3,            0.279,                   1.24, oui               , oui               , non
   1012, tertiary   ,   12,          15.0,            0.624,                   1.78, oui               , oui               , non
   1012, tertiary   ,   13,          15.9,            0.587,                   1.7 , oui               , oui               , non
   1012, tertiary   ,   14,          14.4,            0.65 ,                   1.83, oui               , oui               , non
   1012, tertiary   ,   15,          22.2,            0.323,                   1.29, oui               , oui               , non
   1012, tertiary   ,   16,          13.3,            0.53 ,                   1.59, oui               , oui               , oui
   1012, tertiary   ,   17,           5  ,            1.0  ,                   3.33, non               , non               , oui
   1012, tertiary   ,   18,           8.3,            0.904,                   2.72, non               , oui               , non
   1012, tertiary   ,   19,           5  ,            1.0  ,                   3.33, non               , non               , oui
   1012, tertiary   ,   20,           8.8,            0.884,                   2.62, non               , oui               , non
   1012, tertiary   ,   21,          23.1,            0.288,                   1.25, oui               , oui               , non
   1012, tertiary   ,   22,          23.3,            0.281,                   1.24, oui               , oui               , non
   1012, tertiary   ,   23,          21.6,            0.348,                   1.32, oui               , oui               , non
   1013, residential,    0,           7.2,            0.346,                   1.32, oui               , non               , non
   1013, residential,    1,           7.9,            0.264,                   1.23, oui               , non               , non
   1013, residential,    2,           8.0,            0.254,                   1.22, oui               , non               , non
   1013, residential,    3,           7.3,            0.335,                   1.31, oui               , non               , non
   1013, residential,    4,           7.3,            0.34 ,                   1.31, oui               , non               , non
   1013, residential,    5,          14.8,            0.325,                   1.29, oui               , non               , non
   1013, residential,    6,          15.2,            0.301,                   1.27, oui               , non               , non
   1013, residential,    7,           7.4,            0.789,                   2.24, non               , non               , non
   1013, residential,    8,           7.9,            0.756,                   2.12, non               , non               , non
   1013, residential,    9,           7.8,            0.763,                   2.15, non               , non               , non
   1013, residential,   10,          14.6,            0.335,                   1.31, oui               , non               , non
   1013, residential,   11,          15.4,            0.289,                   1.25, oui               , non               , non
   1013, residential,   12,          10.7,            0.583,                   1.69, oui               , non               , non
   1013, residential,   13,          10.8,            0.573,                   1.67, oui               , non               , non
   1013, residential,   14,          11.0,            0.564,                   1.65, oui               , non               , non
   1013, residential,   15,           9.5,            0.461,                   1.48, non               , non               , oui
   1013, residential,   16,          15.3,            0.295,                   1.26, oui               , non               , non
   1013, residential,   17,           6.2,            0.862,                   2.52, non               , non               , non
   1013, residential,   18,           5.2,            0.927,                   2.85, non               , non               , non
   1013, residential,   19,           5.7,            0.896,                   2.68, non               , non               , non
   1013, residential,   20,           6.3,            0.859,                   2.51, non               , non               , non
   1013, residential,   21,          15.5,            0.28 ,                   1.24, oui               , non               , non
   1013, residential,   22,          15.0,            0.31 ,                   1.28, oui               , non               , non
   1013, residential,   23,           8.8,            0.536,                   1.6 , non               , non               , oui
   1014, primary    ,    0,          41.2,            0.221,                   1.18, oui               , oui               , non
   1014, primary    ,    1,          25.4,            0.39 ,                   1.38, oui               , oui               , oui
   1014, primary    ,    2,          42.8,            0.18 ,                   1.14, oui               , oui               , non
   1014, primary    ,    3,          43.3,            0.167,                   1.13, oui               , oui               , non
   1014, primary    ,    4,          40.6,            0.235,                   1.2 , oui               , oui               , non
   1014, primary    ,    5,          25.1,            0.405,                   1.4 , oui               , oui               , oui
   1014, primary    ,    6,          43.6,            0.16 ,                   1.13, oui               , oui               , non
   1014, primary    ,    7,          14.1,            0.862,                   2.52, oui               , oui               , oui
   1014, primary    ,    8,          20.9,            0.728,                   2.04, oui               , oui               , non
   1014, primary    ,    9,          23.2,            0.67 ,                   1.88, oui               , oui               , non
   1014, primary    ,   10,          41.3,            0.219,                   1.18, oui               , oui               , non
   1014, primary    ,   11,          43.7,            0.158,                   1.12, oui               , oui               , non
   1014, primary    ,   12,          17.0,            0.742,                   2.08, oui               , oui               , oui
   1014, primary    ,   13,          16.8,            0.75 ,                   2.1 , oui               , oui               , oui
   1014, primary    ,   14,          29.4,            0.515,                   1.56, oui               , oui               , non
   1014, primary    ,   15,          43.6,            0.159,                   1.13, oui               , oui               , non
   1014, primary    ,   16,          24.5,            0.431,                   1.43, oui               , oui               , oui
   1014, primary    ,   17,           9.7,            1.0  ,                   3.33, non               , oui               , oui
   1014, primary    ,   18,          16.3,            0.842,                   2.44, oui               , oui               , non
   1014, primary    ,   19,          17.1,            0.822,                   2.36, oui               , oui               , non
   1014, primary    ,   20,          18.5,            0.788,                   2.23, oui               , oui               , non
   1014, primary    ,   21,          42.6,            0.185,                   1.15, oui               , oui               , non
   1014, primary    ,   22,          42.9,            0.177,                   1.14, oui               , oui               , non
   1014, primary    ,   23,          43.4,            0.165,                   1.13, oui               , oui               , non
   1015, tertiary   ,    0,          11.3,            0.312,                   1.28, oui               , oui               , non
   1015, tertiary   ,    1,          11.4,            0.3  ,                   1.27, oui               , oui               , non
   1015, tertiary   ,    2,           6.9,            0.498,                   1.53, oui               , oui               , oui
   1015, tertiary   ,    3,          11.5,            0.288,                   1.25, oui               , oui               , non
   1015, tertiary   ,    4,          11.2,            0.314,                   1.28, oui               , oui               , non
   1015, tertiary   ,    5,          23.4,            0.275,                   1.24, oui               , oui               , non
   1015, tertiary   ,    6,          13.6,            0.504,                   1.55, oui               , oui               , oui
   1015, tertiary   ,    7,          11.1,            0.788,                   2.23, oui               , oui               , non
   1015, tertiary   ,    8,          10.8,            0.798,                   2.27, oui               , oui               , non
   1015, tertiary   ,    9,          11.2,            0.784,                   2.22, oui               , oui               , non
